תאריך,שם נייר ערך,"מספר ני""ע",סוג,תשואה ברוטו,"מח""מ",,דירוג מעלות,שער אחרון
16/04/2017,אמות אגח ב,1126630,צמוד מדד,1.11%,3.65,אמות,AA,119.21
16/04/2017,אמות אגח ג,1117357,צמוד מדד,0.78%,2.14,אמות,AA,118.28
16/04/2017,אמות אגח ד,1133149,צמוד מדד,2.39%,7.43,אמות,AA,108.65
16/04/2017,אמות אגח ה,1138114,לא צמוד,2.85%,5.98,אמות,AA,104.11
16/04/2017,ארפורט אגח ג,1122670,צמוד מדד,0.96%,0.86,ארפורט,AA,106.6
16/04/2017,ארפורט אגח ד,1130426,צמוד מדד,1.06%,2.47,ארפורט,AA,101.67
16/04/2017,ארפורט אגח ה,1133487,צמוד מדד,2.10%,6.69,ארפורט,AA,101.85
16/04/2017,ארפורט אגח ז,1140110,צמוד מדד,0.95%,2.96,ארפורט,AA,106.8
16/04/2017,אשדר אגח א,1104330,צמוד מדד,1.29%,1.57,אשדר,A-,128.77
16/04/2017,אשדר אגח ג,1123884,צמוד מדד,1.76%,2.1,אשדר,A-,112.96
16/04/2017,אשדר אגח ד,1135607,לא צמוד,2.53%,3.43,אשדר,A-,107.05
16/04/2017,אשטרום נכ אגח 7,2510139,צמוד מדד,1.36%,2.12,אשטרום,A,114.4
16/04/2017,אשטרום נכ אגח 8,2510162,צמוד מדד,1.38%,2.71,אשטרום,A,110.97
16/04/2017,אשטרום נכ אגח 9,2510170,לא צמוד,3.93%,6.4,אשטרום,A,106.68
16/04/2017,אשטרום נכ אגח10,2510204,צמוד מדד,2.72%,6.38,אשטרום,A,103.17
16/04/2017,אשטרום קב אגח א,1132323,צמוד מדד,2.08%,4.04,אשטרום,A,102.39
16/04/2017,אשטרום קב אגח ב,1132331,לא צמוד,2.94%,3.68,אשטרום,A,106.6
16/04/2017,אשטרום קב אגח ג,1140102,לא צמוד,3.91%,5.99,אשטרום,A,103.18
16/04/2017,בזן אגח א,2590255,צמוד מדד,1.59%,1.65,בזן,A-,124.61
16/04/2017,בזן אגח ד,2590362,לא צמוד,2.04%,2.71,בזן,A-,112.91
16/04/2017,בזן אגח ה,2590388,לא צמוד,3.03%,4.77,בזן,A-,116.22
16/04/2017,בזן אגח ז,2590438,צמוד מדד,1.52%,1.88,בזן,A-,129.91
16/04/2017,בזק אגח 10,2300184,צמוד מדד,1.83%,6.84,בזק,AA,103.41
16/04/2017,בזק אגח 6,2300143,צמוד מדד,1.03%,3.41,בזק,AA,113.65
16/04/2017,בזק אגח 7,2300150,לא צמוד,1.16%,3.52,בזק,AA,101.55
16/04/2017,בזק אגח 8,2300168,לא צמוד,0.24%,0.12,בזק,AA,102.82
