שם אגח,תשואה ברוטו,תשואה נטו,מחמ,חברה,דירוג 
כללביט אגח א,0.94,-0.58,2.13,כללביט,AA
כללביט אגח ב,0.98,-1.47,0.74,כללביט, 
כללביט אגח ג,1.2,0.29,4.1,כללביט,AA-
כללביט אגח ו,0.81,-0.24,0.4,כללביט,AA-
כללביט אגח ז,2.1,1.5,6.32,כללביט,AA-
כללביט אגח ח,2.81,2.19,5.22,כללביט,AA-
כללביט אגח ט,2.4,1.77,9.99,כללביט, 
כללביט אגח י,3.31,2.71,6.49,כללביט, 
כנפיים אגח ה,2.42,1.24,1.76,כנפיים,A-
כנפיים אגח ז,3.35,2.37,3.58,כנפיים,A-
לאומי אגח 177,0.87,0.72,3.28,לאומי,AAA 
לאומי אגח 178,2.42,1.94,6.35,לאומי,AAA 
לאומי התח נד ח,0.38,-1.21,0.66,לאומי,AA+
לאומי התח נד יב,0.02,-1.23,0.51,לאומי,AA+
לאומי התח נד יג,0.28,-1.23,0.51,לאומי,AA+
לאומי התח נד יד,0.68,-0.19,3.49,לאומי,AA+
לאומי שה נד 200,1.12,0.15,3.65,לאומי,AA
לאומי שה נד 201,1.33,1.09,3.8,לאומי,AA
לאומי שה נד 300,1.05,-0.15,3.18,לאומי,AA
לאומי שה נד 301,1.32,0.99,3.31,לאומי,AA
לודן אגח ד,3.63,2.77,2.61,לודן,BBB+
לוזון קב אגח ו,3.31,1.17,1.41,לוזון, 
לוזון קב אגח ז,4.3,3.28,2.99,לוזון, 
לוזון קב אגח ח,5.14,3.62,4.68,לוזון, 
לוי אגח ו,4.23,2.27,0.99,לוי, 
לוינשט נכ אגח א,1.55,0.99,1.28,לוינשטיין,A
לוינשט נכ אגח ב,2.4,1.8,5.8,לוינשטיין,A
לונשטן הנד אגחג,2.31,1.68,3.16,לוינשטיין,A
ליברטי אגח ד,2.93,1.27,2.01,ליברטי, 
לידר השק אגח ה,2.48,-0.24,2,לידר השקעות, 
לייטסטון אגח א,4.11,3.17,3.72,לייטסטון,A+
מבני תעש אגח ח,0.9,-0.25,0.97,מבני תעש,A-
מבני תעש אגח ט,0.87,-0.61,0.81,מבני תעש,A-
מבני תעש אגח טו,2.86,1.95,3.63,מבני תעש,A-
מבני תעש אגח טז,3.79,2.96,5.55,מבני תעש,A-
מבני תעש אגח יד,1.47,-0.18,1.67,מבני תעש,A-
מבני תעש אגח יז,3.19,2.24,5.79,מבני תעש,A-
מבני תעש אגח יח,1.87,1.14,6.2,מבני תעש,A-
מבני תעש אגח יט,2.5,1.81,7.69,מבני תעש,A-
מגדל הון אגח ג,2.86,2.25,5.39,מגדל, 
מגדל הון אגח ד,2.82,2.21,5.37,מגדל, 
מגדל הון אגח ה,3.34,2.83,10.17,מגדל, 
מגדלי תיכוןאגחב,2.69,2.14,4.37,מגדלי תיכון, 
מגה אור אגח ג,0.88,-0.23,2.62,מגה אור,A
מגה אור אגח ד,1.8,0.93,3.9,מגה אור,A
מגה אור אגח ה,2.46,1.9,4.73,מגה אור,A
מגה אור אגח ו,2.31,1.77,6.22,מגה אור,A
מויניאן אגח א,3.43,2.77,3.44,מויניאן, 
מז טפ הנפק 35,0.58,-0.09,1.85,מזרחי טפחות,AAA 
מז טפ הנפק 36,0.56,0.56,0.49,מזרחי טפחות,AAA 
מז טפ הנפק 37,1.23,0.73,3.08,מזרחי טפחות,AAA 
מז טפ הנפק 38,1,0.88,2.48,מזרחי טפחות,AAA 
מז טפ הנפק 39,0.53,0.36,2.89,מזרחי טפחות,AAA 
מז טפ הנפק 40,2.85,2.36,7.29,מזרחי טפחות,AAA 
מז טפ הנפק 41,1.93,1.51,4.91,מזרחי טפחות,AAA 
מז טפ הנפק 42,0.5,0.38,12.84,מזרחי טפחות,AAA 
מז טפ הנפק 43,0.84,-0.21,4.06,מזרחי טפחות,AAA 
מז טפ הנפק 44,1.02,0.75,5.41,מזרחי טפחות,AAA 
מז טפ הנפק הת30,1.12,-3.14,0.22,מזרחי טפחות,AA+
מז טפ הנפק הת31,0.67,-0.18,2.45,מזרחי טפחות,AA+
מזרח טפחות שה א,1.57,0.47,4.37,מזרחי טפחות,A+
מידאס אגח ב,2.89,1.44,1.38,מידאס, 
מידאס אגח ג,5.84,4.07,3.6,מידאס, 
מיטב דש אגח ג,1.42,0.45,4.4,מיטב דש, 
מירלנד אגח ז,7.42,7.22,5.58,מרילנד, 
מישורים אגח ב,0.68,-1.21,0.5,מישורים,BBB+
מישורים אגח ג,1.92,0.3,1.83,מישורים,BBB+
מישורים אגח ד,3.07,1.81,3.07,מישורים,BBB+
מישורים אגח ה,4.49,3.14,4.28,מישורים,BBB+
מליבו אגח ג,5.75,4.69,3.18,מליבו, 
מליסרון אגח ד,0.14,-1.05,0.48,מליסרון,AA-
מליסרון אגח ה,0.72,-0.52,3.01,מליסרון,AA-
מליסרון אגח ו,1.46,0.2,3.33,מליסרון,AA-
מליסרון אגח ז,1.25,0.35,3.29,מליסרון,AA-
מליסרון אגח ח,1.36,0.72,4.34,מליסרון,AA-
מליסרון אגח ט,1.54,0.94,3.01,מליסרון,AA-
מליסרון אגח טו,3.47,2.92,6.2,מליסרון,AA-
מליסרון אגח טז,2.6,1.99,8.07,מליסרון,AA-
