תאריך,שם נייר ערך,"מספר ני""ע",סוג,תשואה ברוטו,"מח""מ",,דירוג מעלות,שער אחרון
25/01/2017,אלוני חץ אגח ט,3900354,לא צמוד,3.49,6.01,אלוני חץ,AA-,105.67
25/01/2017,אלוני חץ אגח י,3900362,לא צמוד,2.08,7.78,אלוני חץ,AA-,102.5
25/01/2017,אלקו אגח יא,6940167,לא צמוד,2.33,3.62,אלקו,A+,110.65
25/01/2017,אלקטרה אגח ד,7390149,לא צמוד,2.39,4.51,אלקטרה,AA-,106.42
25/01/2017,אלקטרה נדלןאגחד,1121227,צמוד מדד,2.01,2.16,אלקטרה,BBB,111.73
25/01/2017,אמות אגח א,1097385,צמוד מדד,0.89,1.4,אמות,AA,127.58
25/01/2017,אמות אגח ב,1126630,צמוד מדד,1.18,3.88,אמות,AA,118.42
25/01/2017,אמות אגח ג,1117357,צמוד מדד,0.92,2.36,אמות,AA,117.57
25/01/2017,אמות אגח ד,1133149,צמוד מדד,2.52,7.64,אמות,AA,107
25/01/2017,אמות אגח ה,1138114,לא צמוד,3.16,6.19,אמות,AA,101.69
25/01/2017,אפקון החז אגח ב,5780085,לא צמוד,1.33,0.18,אפקון,A-,103.22
25/01/2017,ארפורט אגח ב,1121045,צמוד מדד,5.04,0.09,ארפורט,AA,106.2
25/01/2017,ארפורט אגח ג,1122670,צמוד מדד,1.13,0.94,ארפורט,AA,107.45
25/01/2017,ארפורט אגח ד,1130426,צמוד מדד,1.24,2.56,ארפורט,AA,101.68
25/01/2017,ארפורט אגח ה,1133487,צמוד מדד,2.30,6.53,ארפורט,AA,102.3
25/01/2017,אשדר אגח א,1104330,צמוד מדד,1.96,1.78,אשדר,A-,126.84
25/01/2017,אשדר אגח ג,1123884,צמוד מדד,1.69,2.32,אשדר,A-,112.6
25/01/2017,אשדר אגח ד,1135607,לא צמוד,2.87,3.63,אשדר,A-,105.18
25/01/2017,אשטרום נכ אגח 6,2510121,לא צמוד,1.65,0.09,אשטרום,A,100.49
25/01/2017,אשטרום נכ אגח 7,2510139,צמוד מדד,1.18,2.35,אשטרום,A,114.29
25/01/2017,אשטרום נכ אגח 8,2510162,צמוד מדד,1.57,2.93,אשטרום,A,109.84
25/01/2017,אשטרום נכ אגח 9,2510170,לא צמוד,4.26,6.43,אשטרום,A,105.82
25/01/2017,אשטרום נכ אגח10,2510204,צמוד מדד,2.83,6.59,אשטרום,A,101.9
25/01/2017,אשטרום קב אגח א,1132323,צמוד מדד,2.58,4.22,אשטרום,A,99.77
25/01/2017,אשטרום קב אגח ב,1132331,לא צמוד,3.44,3.87,אשטרום,A,103.88
25/01/2017,בזן אגח א,2590255,צמוד מדד,2.11,1.86,בזן,BBB+,122.87
25/01/2017,בזן אגח ד,2590362,לא צמוד,2.80,2.92,בזן,BBB+,109.92
25/01/2017,בזן אגח ה,2590388,לא צמוד,3.83,4.96,בזן,BBB+,111.01
25/01/2017,בזן אגח ז,2590438,צמוד מדד,2.12,1.61,בזן,BBB+,129.05
25/01/2017,בזק אגח 10,2300184,צמוד מדד,1.82,7.06,בזק,AA,103
25/01/2017,בזק אגח 6,2300143,צמוד מדד,1.10,3.63,בזק,AA,112.88
25/01/2017,בזק אגח 7,2300150,לא צמוד,1.31,3.72,בזק,AA,101.15
25/01/2017,בזק אגח 8,2300168,לא צמוד,0.31,0.35,בזק,AA,102.74
25/01/2017,בזק אגח 9,2300176,לא צמוד,3.10,6.72,בזק,AA,104.45
25/01/2017,בינל הנפק אגח ג,1093681,צמוד מדד,0.61,1,בינל,AA+,128.34
25/01/2017,בינל הנפק אגח ח,1134212,לא צמוד,1.37,2.91,בינל,AA+,101.75
25/01/2017,בינל הנפק אגח ט,1135177,צמוד מדד,0.61,3.13,בינל,AA+,101.42
25/01/2017,בינל הנפק התח ד,1103126,צמוד מדד,0.87,2.07,בינל,AA,130.11
25/01/2017,בינל הנפק התח ה,1105576,צמוד מדד,1.25,0.37,בינל,AA,120.79
25/01/2017,בינל הנפק התח כ,1121953,צמוד מדד,0.60,2.46,בינל,AA,110.95
25/01/2017,בינל הנפק התחכא,1126598,צמוד מדד,0.77,2.37,בינל,AA,107.27
25/01/2017,בינל הנפק התחכב,1138585,צמוד מדד,2.32,4.15,בינל,A+,5196905
25/01/2017,בינלהנפ שה נד ב,1091164,צמוד מדד,0.82,1.08,בינל,AA,130.56
25/01/2017,בית הזהב אגח ב,2350072,לא צמוד,2.96,4.57,בית הזהב,BBB+,109.71
25/01/2017,בית הזהב אגח ג,2350080,לא צמוד,3.36,5.25,בית הזהב,BBB+,101.8
25/01/2017,בראק אן וי אגחא,1122860,צמוד מדד,1.27,1.91,ברקן אן וי,AA-,111.29
25/01/2017,בראק אן וי אגחב,1128347,צמוד מדד,1.65,4.97,ברקן אן וי,AA-,108.61
25/01/2017,בראק אן וי אגחג,1133040,צמוד מדד,2.63,7.02,ברקן אן וי,AA-,104.9
25/01/2017,ברוקלנד אגח א,1132307,לא צמוד,5.78,2.11,ברוקלנד,BBB+,103
25/01/2017,ברוקלנד אגח ב,1136993,לא צמוד,8.50,3.3,ברוקלנד,BBB+,102.61
25/01/2017,ברם אגח א,1135730,לא צמוד,2.77,2.57,ברם,BBB+,106.85
